index	prediction
0	neutral
1	positive
2	neutral
3	negative
4	positive
5	neutral
6	positive
7	positive
8	negative
9	neutral
10	negative
11	positive
12	positive
13	negative
14	positive
15	negative
16	positive
17	positive
18	negative
19	negative
20	neutral
21	positive
22	negative
23	negative
24	positive
25	neutral
26	negative
27	negative
28	neutral
29	neutral
30	positive
31	negative
32	negative
33	negative
34	negative
35	positive
36	positive
37	positive
38	positive
39	positive
40	neutral
41	neutral
42	negative
43	positive
44	neutral
45	positive
46	positive
47	neutral
48	negative
49	positive
50	positive
51	neutral
52	positive
53	negative
54	negative
55	positive
56	neutral
57	negative
58	neutral
59	neutral
60	positive
61	positive
62	negative
63	positive
64	positive
65	negative
66	negative
67	negative
68	positive
69	negative
70	neutral
71	positive
72	negative
73	negative
74	positive
75	negative
76	negative
77	neutral
78	negative
79	positive
80	negative
81	neutral
82	positive
83	neutral
84	negative
85	negative
86	negative
87	neutral
88	negative
89	positive
90	negative
91	positive
92	negative
93	positive
94	negative
95	positive
96	positive
97	positive
98	positive
99	positive
100	neutral
101	positive
102	positive
103	negative
104	positive
105	neutral
106	positive
107	negative
108	neutral
109	positive
110	negative
111	positive
112	positive
113	negative
114	negative
115	positive
116	positive
117	neutral
118	negative
119	positive
120	negative
121	positive
122	positive
123	negative
124	negative
125	positive
126	positive
127	positive
128	positive
129	positive
130	neutral
131	negative
132	negative
133	positive
134	positive
135	positive
136	negative
137	neutral
138	positive
139	neutral
140	negative
141	positive
142	neutral
143	positive
144	negative
145	negative
146	negative
147	neutral
148	positive
149	positive
150	neutral
151	positive
152	neutral
153	positive
154	neutral
155	neutral
156	negative
157	neutral
158	positive
159	positive
160	positive
161	negative
162	positive
163	positive
164	negative
165	positive
166	negative
167	positive
168	negative
169	positive
170	positive
171	negative
172	positive
173	neutral
174	neutral
175	positive
176	neutral
177	neutral
178	neutral
179	negative
180	positive
181	negative
182	positive
183	positive
184	positive
185	positive
186	negative
187	negative
188	negative
189	negative
190	positive
191	positive
192	negative
193	neutral
194	positive
195	positive
196	positive
197	positive
198	negative
199	positive
200	neutral
201	neutral
202	neutral
203	positive
204	positive
205	negative
206	positive
207	positive
208	positive
209	positive
210	positive
211	positive
212	positive
213	negative
214	positive
215	negative
216	negative
217	positive
218	neutral
219	negative
220	positive
221	negative
222	positive
223	positive
224	positive
225	positive
226	positive
227	positive
228	negative
229	positive
230	negative
231	positive
232	positive
233	positive
234	neutral
235	positive
236	positive
237	positive
238	positive
239	negative
240	positive
241	positive
242	positive
243	positive
244	neutral
245	neutral
246	positive
247	negative
248	neutral
249	negative
250	neutral
251	positive
252	neutral
253	positive
